RACE_HISP,SEX,YEAR,births
4,2,2038,140126
4,2,2039,141740
4,2,2040,143332
4,2,2041,144920
4,2,2042,146523
4,2,2043,148132
4,2,2044,149768
4,2,2045,151441
4,2,2046,153137
4,2,2047,154849
4,2,2048,156588
4,2,2049,158341
4,2,2050,160093
4,2,2051,161846
4,2,2052,163590
4,2,2053,165318
4,2,2054,167029
4,2,2055,168720
4,2,2056,170388
4,2,2057,172033
4,2,2058,173655
4,2,2059,175256
4,2,2060,176838
5,0,2014,9987
5,0,2015,10199
5,0,2016,10400
5,0,2017,10587
5,0,2018,10745
5,0,2019,10881
5,0,2020,10986
5,0,2021,11084
5,0,2022,11153
5,0,2023,11197
5,0,2024,11236
5,0,2025,11256
5,0,2026,11268
5,0,2027,11264
5,0,2028,11260
5,0,2029,11253
5,0,2030,11250
5,0,2031,11258
5,0,2032,11261
5,0,2033,11284
5,0,2034,11321
5,0,2035,11369
5,0,2036,11427
5,0,2037,11486
5,0,2038,11557
5,0,2039,11625
5,0,2040,11686
5,0,2041,11742
5,0,2042,11788
5,0,2043,11821
5,0,2044,11849
5,0,2045,11873
5,0,2046,11889
5,0,2047,11903
5,0,2048,11916
5,0,2049,11927
5,0,2050,11948
5,0,2051,11976
5,0,2052,12010
5,0,2053,12052
5,0,2054,12095
5,0,2055,12141
5,0,2056,12192
5,0,2057,12243
5,0,2058,12296
5,0,2059,12349
5,0,2060,12401
5,1,2014,5136
5,1,2015,5245
5,1,2016,5349
5,1,2017,5445
5,1,2018,5526
5,1,2019,5596
5,1,2020,5650
5,1,2021,5701
5,1,2022,5736
5,1,2023,5760
5,1,2024,5780
5,1,2025,5790
5,1,2026,5796
5,1,2027,5794
5,1,2028,5792
5,1,2029,5788
5,1,2030,5787
5,1,2031,5791
5,1,2032,5793
5,1,2033,5804
5,1,2034,5824
5,1,2035,5848
5,1,2036,5877
5,1,2037,5908
5,1,2038,5944
5,1,2039,5980
5,1,2040,6011
5,1,2041,6040
5,1,2042,6063
5,1,2043,6081
5,1,2044,6095
5,1,2045,6108
5,1,2046,6116
5,1,2047,6123
5,1,2048,6131
5,1,2049,6136
5,1,2050,6148
5,1,2051,6161
5,1,2052,6179
5,1,2053,6201
5,1,2054,6223
5,1,2055,6247
5,1,2056,6274
5,1,2057,6300
5,1,2058,6327
5,1,2059,6354
5,1,2060,6381
5,2,2014,4851
5,2,2015,4954
5,2,2016,5051
5,2,2017,5142
5,2,2018,5219
5,2,2019,5285
5,2,2020,5336
5,2,2021,5383
5,2,2022,5417
5,2,2023,5437
5,2,2024,5456
5,2,2025,5466
5,2,2026,5472
5,2,2027,5470
5,2,2028,5468
5,2,2029,5465
5,2,2030,5463
5,2,2031,5467
5,2,2032,5468
5,2,2033,5480
5,2,2034,5497
5,2,2035,5521
5,2,2036,5550
5,2,2037,5578
5,2,2038,5613
5,2,2039,5645
5,2,2040,5675
5,2,2041,5702
5,2,2042,5725
5,2,2043,5740
5,2,2044,5754
5,2,2045,5765
5,2,2046,5773
5,2,2047,5780
5,2,2048,5785
5,2,2049,5791
5,2,2050,5800
5,2,2051,5815
5,2,2052,5831
5,2,2053,5851
5,2,2054,5872
5,2,2055,5894
5,2,2056,5918
5,2,2057,5943
5,2,2058,5969
5,2,2059,5995
5,2,2060,6020
6,0,2014,257518
6,0,2015,263349
6,0,2016,269351
6,0,2017,275506
6,0,2018,281748
6,0,2019,288087
6,0,2020,294465
6,0,2021,300810
6,0,2022,307150
6,0,2023,313544
6,0,2024,320006
